cid,Activite,IsomericSMILES,Canonical_smiles
5273854,0,C1CCC(C1)N2C(=O)C(NC2=O)C3=CC=CC=C3,O=C1NC(c2ccccc2)C(=O)N1C1CCCC1
44387964,0,C1=CC=C(C=C1)C(C2=CC=CC=C2)NC(=O)C(C3=CC=CC=C3)NC(=O)N4C5=CC=CC=C5N=N4,O=C(NC(c1ccccc1)c1ccccc1)C(NC(=O)n1nnc2ccccc21)c1ccccc1
44388091,0,CCC(C)C1C(=O)N(C(=O)N1)CC2=CC=CC=C2,CCC(C)C1NC(=O)N(Cc2ccccc2)C1=O
44387998,0,CCC(C)C(C(=O)NC(C1=CC=CC=C1)C2=CC=CC=C2)NC(=O)N3C4=CC=CC=C4N=N3,CCC(C)C(NC(=O)n1nnc2ccccc21)C(=O)NC(c1ccccc1)c1ccccc1
44387960,0,C1CCN(CC1)C(=O)C(C2=CC=CC=C2)NC(=O)N3C4=CC=CC=C4N=N3,O=C(C(NC(=O)n1nnc2ccccc21)c1ccccc1)N1CCCCC1
42636965,0,C#CC1(C=CN(C(=O)C1(F)F)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)O,C#CC1(O)C=CN([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C(=O)C1(F)F
42638109,0,C1=CN(C(=O)C(=C1CC(=O)N)F)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O,NC(=O)Cc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)c1F
5273848,0,CC(C)C1C(=O)N(C(=O)N1)C2CCCC2,CC(C)C1NC(=O)N(C2CCCC2)C1=O
44387976,0,CCC(C)C(C(=O)NC1CCCCC1)NC(=O)N2C3=CC=CC=C3N=N2,CCC(C)C(NC(=O)n1nnc2ccccc21)C(=O)NC1CCCCC1
44387962,0,CC(C)C(C(=O)NC1CCCCC1)NC(=O)N2C3=CC=CC=C3N=N2,CC(C)C(NC(=O)n1nnc2ccccc21)C(=O)NC1CCCCC1
44387989,0,C1=CC=C(C=C1)CC(C(=O)NC(C2=CC=CC=C2)C3=CC=CC=C3)NC(=O)N4C5=CC=CC=C5N=N4,O=C(NC(c1ccccc1)c1ccccc1)C(Cc1ccccc1)NC(=O)n1nnc2ccccc21
44387959,0,C1CCC(CC1)NC(=O)C(CC2=CC=CC=C2)NC(=O)N3C4=CC=CC=C4N=N3,O=C(NC1CCCCC1)C(Cc1ccccc1)NC(=O)n1nnc2ccccc21
14842475,0,C1CCC(CC1)NC(=O)C(C2=CC=CC=C2)NC(=O)N3C4=CC=CC=C4N=N3,O=C(NC1CCCCC1)C(NC(=O)n1nnc2ccccc21)c1ccccc1
21158011,0,CC(C)C(C(=O)NC1CCCC1)NC(=O)N2C3=CC=CC=C3N=N2,CC(C)C(NC(=O)n1nnc2ccccc21)C(=O)NC1CCCC1
44388017,0,C1CCC(CC1)CNC(=O)C(C2=CC=CC=C2)NC(=O)N3C4=CC=CC=C4N=N3,O=C(NCC1CCCCC1)C(NC(=O)n1nnc2ccccc21)c1ccccc1
44387968,0,CCC(C)C(C(=O)NC1CCCC1)NC(=O)N2C3=CC=CC=C3N=N2,CCC(C)C(NC(=O)n1nnc2ccccc21)C(=O)NC1CCCC1
5273851,0,CCC(C)C1C(=O)N(C(=O)N1)C2CCCCC2,CCC(C)C1NC(=O)N(C2CCCCC2)C1=O
16110732,0,C[C@H](CN1C=NC(=NC1=O)N)OCP(=O)(O)O,C[C@H](Cn1cnc(N)nc1=O)OCP(=O)(O)O
44420631,0,C1N=C(NC(=O)N1C[C@H](CCP(=O)(O)O)CO)N,NC1=NCN(C[C@@H](CO)CCP(=O)(O)O)C(=O)N1
137629162,0,C([C@@H](CO)OCP(=O)(O)O)NC(=O)NC(=N)NC=O,N=C(NC=O)NC(=O)NC[C@@H](CO)OCP(=O)(O)O
16110729,0,C1=NC(=NC(=O)N1C[C@@H](CO)O)N,Nc1ncn(C[C@H](O)CO)c(=O)n1
11580118,0,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)/C=C/C#N)O)O)N,N#C/C=C/[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O
