cid,Probability of nontox,Probability of tox
6602111,0.2973005877169784,0.7026994122830216
90488943,0.29730058771697887,0.7026994122830211
3007218,0.29734472422153235,0.7026552757784676
131883271,0.2975875952319045,0.7024124047680955
14408976,0.297927754641478,0.702072245358522
13108042,0.29964486871416696,0.700355131285833
3010291,0.2996646245768261,0.7003353754231739
121486905,0.30041353109350255,0.6995864689064974
15104850,0.3005817709396835,0.6994182290603165
493016,0.3007345090348795,0.6992654909651205
10588021,0.3008228002933879,0.6991771997066121
10588022,0.3008228002933879,0.6991771997066121
470049,0.30091682631605865,0.6990831736839414
465094,0.30091682631605865,0.6990831736839414
131858473,0.30149825460312507,0.6985017453968749
6483433,0.3019147658432032,0.6980852341567968
14730263,0.3020157597696891,0.6979842402303109
500247,0.30204089415005964,0.6979591058499404
92270653,0.30204089415005964,0.6979591058499404
21853094,0.3021155232055741,0.6978844767944259
10067373,0.30322561668032944,0.6967743833196706
503813,0.3036804401976634,0.6963195598023366
132663,0.30418417314930557,0.6958158268506944
512708,0.30423302696615473,0.6957669730338453
503012,0.3052860414316184,0.6947139585683816
90674669,0.3064391894989097,0.6935608105010903
452054,0.3071166104691033,0.6928833895308967
452051,0.3071166104691033,0.6928833895308967
14541163,0.30711661046910377,0.6928833895308962
121486756,0.3078844330318149,0.6921155669681851
3010354,0.3084603067047551,0.6915396932952449
469447,0.3087482315286232,0.6912517684713768
387981,0.3093262261441857,0.6906737738558143
10266777,0.3093262261441859,0.6906737738558141
131853148,0.309410538821454,0.690589461178546
92266557,0.3096658821747805,0.6903341178252195
131858038,0.3096658821747805,0.6903341178252195
131883949,0.3096658821747805,0.6903341178252195
5273527,0.30968145086415955,0.6903185491358405
154809499,0.31014831816478794,0.6898516818352121
503008,0.31065297948826864,0.6893470205117314
503009,0.31065297948826864,0.6893470205117314
512718,0.31106639693355453,0.6889336030664455
9796412,0.31184057992567504,0.688159420074325
481530,0.3124083728572493,0.6875916271427507
92151285,0.3135134520765026,0.6864865479234974
359064,0.3135134520765026,0.6864865479234974
72194,0.3135134520765026,0.6864865479234974
491674,0.3135134520765026,0.6864865479234974
